Feature Name,Feature Description
HpHp_L5_weight,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 5 weight
HpHp_L5_mean,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 5 mean
HpHp_L5_std,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 5 std
HpHp_L5_magnitude,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 5 magnitude
HpHp_L5_radius,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 5 radius
HpHp_L5_covariance,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 5 covariance
HpHp_L5_pcc,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 5 pcc
HpHp_L3_weight,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 3 weight
HpHp_L3_mean,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 3 mean
HpHp_L3_std,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 3 std
HpHp_L3_magnitude,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 3 magnitude
HpHp_L3_radius,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 3 radius
HpHp_L3_covariance,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 3 covariance
HpHp_L3_pcc,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 3 pcc
HpHp_L1_weight,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 1 weight
HpHp_L1_mean,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 1 mean
HpHp_L1_std,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 1 std
HpHp_L1_magnitude,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 1 magnitude
HpHp_L1_radius,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 1 radius
HpHp_L1_covariance,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 1 covariance
HpHp_L1_pcc,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 1 pcc
HpHp_L0.1_weight,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 0.1 weight
HpHp_L0.1_mean,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 0.1 mean
HpHp_L0.1_std,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 0.1 std
HpHp_L0.1_magnitude,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 0.1 magnitude
HpHp_L0.1_radius,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 0.1 radius
HpHp_L0.1_covariance,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 0.1 covariance
HpHp_L0.1_pcc,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 0.1 pcc
HpHp_L0.01_weight,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 0.01 weight
HpHp_L0.01_mean,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 0.01 mean
HpHp_L0.01_std,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 0.01 std
HpHp_L0.01_magnitude,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 0.01 magnitude
HpHp_L0.01_radius,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 0.01 radius
HpHp_L0.01_covariance,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 0.01 covariance
HpHp_L0.01_pcc,traffic going from this packet's host+port (IP) to the packet's destination host+port Lambda 0.01 pcc
